"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"3.3V_REG";"V7803-1000";"V7803-1000";"V78XX-1000";"";"";"";"";"";
"5V_REG";"V78XX-1500";"V78XX-1500";"V78XX-1500R";"";"";"";"";"";
"ACCUMULATOR_CONN";"RJ45-6L21-S";"RJ45-6L21-S";"RJ45-SHIELD1";"RJ45 Low Profile Shield Type 2";"";"";"unknown";"unknown";
"AIO_PO_CONN";"2516-5";"2516-5";"PAK100/2500-5-16";"3M (TM) Pak 100 4-Wall Header";"";"D2516-5002-AR";"9838376";"12P7055";
"BSPD_CONN";"CONN_5";"CONN_5";"CONNECTOR_5";"";"";"";"";"";
"C5";".1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";
"C6";"10uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";
"C7";".1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";
"C8";"1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";
"C9";"22uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";
"C10";"10uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";
"C11";"10uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";
"C12";"22uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";
"C13";"470nF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";
"C14";"10nF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";
"D1";"MMBZ5238B-7-F";"MMBZ5238B-7-F";"SOT-23-3";"Digikey: MMBZ5238B-FDICT-ND";"";"";"";"";
"D2";"MMBZ5238B-7-F";"MMBZ5238B-7-F";"SOT-23-3";"Digikey: MMBZ5238B-FDICT-ND";"";"";"";"";
"D3";"MMBZ5238B-7-F";"MMBZ5238B-7-F";"SOT-23-3";"Digikey: MMBZ5238B-FDICT-ND";"";"";"";"";
"D4";"MMBZ5238B-7-F";"MMBZ5238B-7-F";"SOT-23-3";"Digikey: MMBZ5238B-FDICT-ND";"";"";"";"";
"D5";"MMBZ5238B-7-F";"MMBZ5238B-7-F";"SOT-23-3";"Digikey: MMBZ5238B-FDICT-ND";"";"";"";"";
"D6";"MMBZ5238B-7-F";"MMBZ5238B-7-F";"SOT-23-3";"Digikey: MMBZ5238B-FDICT-ND";"";"";"";"";
"F1";"";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";
"F2";"";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";
"F3";"";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";
"F4";"";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";
"F5";"";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";
"F6";"";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";
"F7";"";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";
"F8";"";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";
"F9";"";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";
"F10";"";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";
"F14";"";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";
"F15";"";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";
"F16";"";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";
"F17";"";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";
"F18";"";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";
"F19";"";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";
"F20";"";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";
"F21";"";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";
"F22";"";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";
"IC1";"BTS716G";"BTS716G";"PG-DSO-20";"Smart High-Side Power Switch Four Channels: 4 x 140mOhm staus Feedback";"";"";"unknown";"unknown";
"IC2";"BTS716G";"BTS716G";"PG-DSO-20";"Smart High-Side Power Switch Four Channels: 4 x 140mOhm staus Feedback";"";"";"unknown";"unknown";
"IC3";"BTS716G";"BTS716G";"PG-DSO-20";"Smart High-Side Power Switch Four Channels: 4 x 140mOhm staus Feedback";"";"";"unknown";"unknown";
"Q7";"MMBT4403-7-F";"MMBT4403-7-F";"SOT-23-3";"";"";"";"";"";
"Q8";"MMBT4403-7-F";"MMBT4403-7-F";"SOT-23-3";"";"";"";"";"";
"R8";"10k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"";"";
"R9";"10k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"";"";
"R11";"4.7k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"";"";
"R12";"4.7k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"";"";
"R13";"10k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"";"";
"R14";"10k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"";"";
"R15";"4.7k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"";"";
"R16";"4.7k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"";"";
"R17";"10k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"";"";
"R34";"10k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"";"";
"R35";"10K";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";
"R36";"10k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"";"";
"SBRIO_ANALOG";"SBRIO_MIO";"SBRIO_MIO";"SBRIO_J502_J503";"";"";"";"";"";
"SBRIO_AUX";"SBRIO_AUX";"SBRIO_AUX";"SBRIO_J502_J503";"An output for a lot of the extra pins on the sbRIO.";"";"";"";"";
"SHTDWN_CONN";"CONN_5";"CONN_5";"CONNECTOR_5";"";"";"";"";"";
"TUB_CONN";"2516-5";"2516-5";"PAK100/2500-5-16";"3M (TM) Pak 100 4-Wall Header";"";"D2516-5002-AR";"9838376";"12P7055";
"U$2";"SBRIO_W500";"SBRIO_W500";"SBRIO_W";"";"";"";"";"";
"U$3";"SBRIO_RMC";"SBRIO_RMC";"SEAM-40-XX.X-XX-06-X-A";"";"";"";"";"";
"U$15";"MMBT4401-7-F";"MMBT4401-7-F";"SOT-23-3";"";"";"";"";"";
"U$16";"MMBT4401-7-F";"MMBT4401-7-F";"SOT-23-3";"";"";"";"";"";
"U1";"";"TXB0104PWR";"TSSOP14";"4-Bit Bi-Directional Level Shifter";"";"";"";"";
"U2";"ADXL345";"ADXL345";"LGA14";"3-axis SPI/I2C 2/4/8/16g accelerometer";"";"";"";"";
"U3";"L3G4200D";"L3G4200D";"LGA16-4X4";"L3G4200D Three-axis, digital output gyroscope";"";"";"";"";
"X1";"5566-2";"5566-2";"5566-2";"Mini FIT connector 2 pol";"";"";"1822072";"unknown";
"X2";"";"FTOP-4";"FTOP-4";"AMP connector";"";"";"";"";
